"PL40","6129","18","540125","30006.9444"
"PL110","4562","12","437891","36490.9167"
"PL5","8612","12","425290","35440.8333"
"PL89","8217","13","423065","32543.4615"
"PL191","1183","11","410181","37289.1818"
"PL109","2206","10","407102","40710.2000"
"PL166","2101","11","405764","36887.6364"
"PL25","6722","14","388439","27745.6429"
"PL32","4867","7","385832","55118.8571"
"PL57","6041","12","378015","31501.2500"
"PL170","8094","9","370528","41169.7778"
"PL35","2645","12","363835","30319.5833"
"PL36","4237","11","362827","32984.2727"
"PL96","6536","12","357698","29808.1667"
"PL156","2046","10","354922","35492.2000"
"PL112","9870","12","351992","29332.6667"
"PL46","3922","14","350636","25045.4286"
"PL74","1623","15","342915","22861.0000"
"PL159","6208","11","342760","31160.0000"
"PL183","2282","14","340528","24323.4286"
"PL178","5944","13","339097","26084.3846"
"PL14","2118","13","334846","25757.3846"
"PL118","8494","13","334086","25698.9231"
"PL67","5795","9","330667","36740.7778"
"PL113","9087","14","326667","23333.3571"
"PL9","5724","11","321534","29230.3636"
"PL82","6606","11","319675","29061.3636"
"PL88","1566","12","316258","26354.8333"
"PL59","1256","9","310367","34485.2222"
"PL142","9118","9","305614","33957.1111"
"PL10","4034","11","305304","27754.9091"
"PL182","8484","11","304238","27658.0000"
"PL83","8155","11","302157","27468.8182"
